m,coco,coco_pct,country,place
1,3.0,0.026,nederlandse-antillen,curacao
1,4.0,0.001,nederlandse-antillen,curacao
1,5.0,0.0,nederlandse-antillen,curacao
1,7.0,0.003,nederlandse-antillen,curacao
1,8.0,0.002,nederlandse-antillen,curacao
1,9.0,0.0,nederlandse-antillen,curacao
1,17.0,0.029,nederlandse-antillen,curacao
1,18.0,0.048,nederlandse-antillen,curacao
1,25.0,0.0,nederlandse-antillen,curacao
1,26.0,0.0,nederlandse-antillen,curacao
1,27.0,0.0,nederlandse-antillen,curacao
2,1.0,0.031,nederlandse-antillen,curacao
2,2.0,0.885,nederlandse-antillen,curacao
2,3.0,0.033,nederlandse-antillen,curacao
2,4.0,0.002,nederlandse-antillen,curacao
2,5.0,0.0,nederlandse-antillen,curacao
2,7.0,0.001,nederlandse-antillen,curacao
2,8.0,0.001,nederlandse-antillen,curacao
2,9.0,0.0,nederlandse-antillen,curacao
2,17.0,0.022,nederlandse-antillen,curacao
2,18.0,0.024,nederlandse-antillen,curacao
2,25.0,0.001,nederlandse-antillen,curacao
2,26.0,0.0,nederlandse-antillen,curacao
2,27.0,0.001,nederlandse-antillen,curacao
3,1.0,0.021,nederlandse-antillen,curacao
3,2.0,0.89,nederlandse-antillen,curacao
3,3.0,0.05,nederlandse-antillen,curacao
3,4.0,0.001,nederlandse-antillen,curacao
3,5.0,0.0,nederlandse-antillen,curacao
3,7.0,0.002,nederlandse-antillen,curacao
3,8.0,0.0,nederlandse-antillen,curacao
3,9.0,0.0,nederlandse-antillen,curacao
3,17.0,0.021,nederlandse-antillen,curacao
3,18.0,0.015,nederlandse-antillen,curacao
3,25.0,0.0,nederlandse-antillen,curacao
3,26.0,0.0,nederlandse-antillen,curacao
3,27.0,0.0,nederlandse-antillen,curacao
4,1.0,0.01,nederlandse-antillen,curacao
4,2.0,0.809,nederlandse-antillen,curacao
4,3.0,0.159,nederlandse-antillen,curacao
4,4.0,0.002,nederlandse-antillen,curacao
4,5.0,0.0,nederlandse-antillen,curacao
4,7.0,0.0,nederlandse-antillen,curacao
4,8.0,0.0,nederlandse-antillen,curacao
4,9.0,0.0,nederlandse-antillen,curacao
4,17.0,0.006,nederlandse-antillen,curacao
4,18.0,0.012,nederlandse-antillen,curacao
