m,m3,coco,coco_pct,country,place
10,3,8.0,0.014,spanje,alicante
10,3,9.0,0.008,spanje,alicante
10,3,17.0,0.006,spanje,alicante
10,3,18.0,0.001,spanje,alicante
10,3,23.0,0.0,spanje,alicante
10,3,25.0,0.001,spanje,alicante
10,3,26.0,0.0,spanje,alicante
10,3,27.0,0.0,spanje,alicante
11,1,1.0,0.325,spanje,alicante
11,1,2.0,0.357,spanje,alicante
11,1,3.0,0.229,spanje,alicante
11,1,4.0,0.021,spanje,alicante
11,1,5.0,0.032,spanje,alicante
11,1,7.0,0.023,spanje,alicante
11,1,8.0,0.007,spanje,alicante
11,1,9.0,0.001,spanje,alicante
11,1,17.0,0.004,spanje,alicante
11,1,18.0,0.0,spanje,alicante
11,1,23.0,0.0,spanje,alicante
11,1,25.0,0.001,spanje,alicante
11,1,26.0,0.0,spanje,alicante
11,1,27.0,0.0,spanje,alicante
11,2,1.0,0.281,spanje,alicante
11,2,2.0,0.314,spanje,alicante
11,2,3.0,0.293,spanje,alicante
11,2,4.0,0.032,spanje,alicante
11,2,5.0,0.009,spanje,alicante
11,2,7.0,0.055,spanje,alicante
11,2,8.0,0.007,spanje,alicante
11,2,9.0,0.001,spanje,alicante
11,2,17.0,0.007,spanje,alicante
11,2,18.0,0.0,spanje,alicante
11,2,23.0,0.0,spanje,alicante
11,2,25.0,0.001,spanje,alicante
11,2,26.0,0.0,spanje,alicante
11,2,27.0,0.0,spanje,alicante
11,3,1.0,0.35,spanje,alicante
11,3,2.0,0.335,spanje,alicante
11,3,3.0,0.251,spanje,alicante
11,3,4.0,0.02,spanje,alicante
11,3,5.0,0.005,spanje,alicante
11,3,7.0,0.026,spanje,alicante
11,3,8.0,0.006,spanje,alicante
11,3,9.0,0.001,spanje,alicante
11,3,17.0,0.006,spanje,alicante
11,3,18.0,0.0,spanje,alicante
11,3,23.0,0.0,spanje,alicante
11,3,25.0,0.001,spanje,alicante
11,3,26.0,0.0,spanje,alicante
11,3,27.0,0.0,spanje,alicante
12,1,1.0,0.386,spanje,alicante
12,1,2.0,0.267,spanje,alicante
12,1,3.0,0.274,spanje,alicante
12,1,4.0,0.013,spanje,alicante
12,1,5.0,0.005,spanje,alicante
12,1,7.0,0.023,spanje,alicante
12,1,8.0,0.019,spanje,alicante
12,1,9.0,0.004,spanje,alicante
12,1,17.0,0.005,spanje,alicante
12,1,18.0,0.002,spanje,alicante
12,1,23.0,0.0,spanje,alicante
12,1,25.0,0.002,spanje,alicante
12,1,26.0,0.0,spanje,alicante
12,1,27.0,0.0,spanje,alicante
12,2,1.0,0.37,spanje,alicante
12,2,2.0,0.304,spanje,alicante
12,2,3.0,0.275,spanje,alicante
12,2,4.0,0.029,spanje,alicante
12,2,5.0,0.003,spanje,alicante
12,2,7.0,0.015,spanje,alicante
12,2,8.0,0.004,spanje,alicante
12,2,9.0,0.001,spanje,alicante
12,2,17.0,0.001,spanje,alicante
12,2,18.0,0.001,spanje,alicante
12,2,23.0,0.0,spanje,alicante
12,2,25.0,0.0,spanje,alicante
12,2,26.0,0.0,spanje,alicante
12,2,27.0,0.0,spanje,alicante
12,3,1.0,0.514,spanje,alicante
12,3,2.0,0.214,spanje,alicante
12,3,3.0,0.19,spanje,alicante
12,3,4.0,0.026,spanje,alicante
12,3,5.0,0.052,spanje,alicante
12,3,7.0,0.003,spanje,alicante
12,3,8.0,0.001,spanje,alicante
12,3,9.0,0.0,spanje,alicante
12,3,17.0,0.001,spanje,alicante
12,3,18.0,0.0,spanje,alicante
12,3,23.0,0.0,spanje,alicante
12,3,25.0,0.0,spanje,alicante
12,3,26.0,0.0,spanje,alicante
12,3,27.0,0.0,spanje,alicante
1,1,1.0,0.4,spanje,almeria
1,1,2.0,0.455,spanje,almeria
1,1,3.0,0.061,spanje,almeria
1,1,4.0,0.017,spanje,almeria
1,1,5.0,0.023,spanje,almeria
1,1,7.0,0.036,spanje,almeria
1,1,8.0,0.007,spanje,almeria
1,1,9.0,0.001,spanje,almeria
1,1,17.0,0.0,spanje,almeria
1,1,18.0,0.001,spanje,almeria
1,1,23.0,0.0,spanje,almeria
1,1,25.0,0.0,spanje,almeria
1,1,26.0,0.0,spanje,almeria
1,1,27.0,0.0,spanje,almeria
1,2,1.0,0.376,spanje,almeria
1,2,2.0,0.512,spanje,almeria
1,2,3.0,0.074,spanje,almeria
1,2,4.0,0.013,spanje,almeria
1,2,5.0,0.0,spanje,almeria
1,2,7.0,0.016,spanje,almeria
1,2,8.0,0.005,spanje,almeria
1,2,9.0,0.0,spanje,almeria
1,2,17.0,0.002,spanje,almeria
1,2,18.0,0.0,spanje,almeria
1,2,23.0,0.0,spanje,almeria
1,2,25.0,0.0,spanje,almeria
1,2,26.0,0.0,spanje,almeria
1,2,27.0,0.0,spanje,almeria
1,3,1.0,0.276,spanje,almeria
1,3,2.0,0.566,spanje,almeria
1,3,3.0,0.084,spanje,almeria
1,3,4.0,0.02,spanje,almeria
1,3,5.0,0.037,spanje,almeria
1,3,7.0,0.011,spanje,almeria
1,3,8.0,0.003,spanje,almeria
1,3,9.0,0.0,spanje,almeria
1,3,17.0,0.002,spanje,almeria
1,3,18.0,0.001,spanje,almeria
1,3,23.0,0.0,spanje,almeria
1,3,25.0,0.0,spanje,almeria
1,3,26.0,0.0,spanje,almeria
1,3,27.0,0.0,spanje,almeria
2,1,1.0,0.451,spanje,almeria
2,1,2.0,0.385,spanje,almeria
2,1,3.0,0.089,spanje,almeria
2,1,4.0,0.023,spanje,almeria
2,1,5.0,0.029,spanje,almeria
2,1,7.0,0.02,spanje,almeria
2,1,8.0,0.003,spanje,almeria
2,1,9.0,0.0,spanje,almeria
2,1,17.0,0.0,spanje,almeria
2,1,18.0,0.0,spanje,almeria
2,1,23.0,0.0,spanje,almeria
2,1,25.0,0.0,spanje,almeria
2,1,26.0,0.0,spanje,almeria
2,1,27.0,0.0,spanje,almeria
2,2,1.0,0.352,spanje,almeria
2,2,2.0,0.52,spanje,almeria
2,2,3.0,0.086,spanje,almeria
2,2,4.0,0.025,spanje,almeria
2,2,5.0,0.015,spanje,almeria
2,2,7.0,0.002,spanje,almeria
2,2,8.0,0.0,spanje,almeria
2,2,9.0,0.0,spanje,almeria
2,2,17.0,0.0,spanje,almeria
2,2,18.0,0.0,spanje,almeria
2,2,23.0,0.0,spanje,almeria
2,2,25.0,0.0,spanje,almeria
2,2,26.0,0.0,spanje,almeria
2,2,27.0,0.0,spanje,almeria
2,3,1.0,0.419,spanje,almeria
2,3,2.0,0.449,spanje,almeria
2,3,3.0,0.101,spanje,almeria
2,3,4.0,0.015,spanje,almeria
2,3,5.0,0.003,spanje,almeria
2,3,7.0,0.01,spanje,almeria
2,3,8.0,0.003,spanje,almeria
2,3,9.0,0.0,spanje,almeria
2,3,17.0,0.0,spanje,almeria
2,3,18.0,0.001,spanje,almeria
2,3,23.0,0.0,spanje,almeria
2,3,25.0,0.0,spanje,almeria
2,3,26.0,0.0,spanje,almeria
2,3,27.0,0.0,spanje,almeria
3,1,1.0,0.243,spanje,almeria
3,1,2.0,0.478,spanje,almeria
3,1,3.0,0.16,spanje,almeria
3,1,4.0,0.033,spanje,almeria
3,1,5.0,0.015,spanje,almeria
3,1,7.0,0.051,spanje,almeria
3,1,8.0,0.008,spanje,almeria
3,1,9.0,0.007,spanje,almeria
3,1,17.0,0.003,spanje,almeria
3,1,18.0,0.001,spanje,almeria
3,1,23.0,0.0,spanje,almeria
3,1,25.0,0.0,spanje,almeria
3,1,26.0,0.0,spanje,almeria
3,1,27.0,0.0,spanje,almeria
3,2,1.0,0.36,spanje,almeria
3,2,2.0,0.436,spanje,almeria
3,2,3.0,0.112,spanje,almeria
3,2,4.0,0.024,spanje,almeria
3,2,5.0,0.027,spanje,almeria
3,2,7.0,0.026,spanje,almeria
3,2,8.0,0.013,spanje,almeria
3,2,9.0,0.001,spanje,almeria
3,2,17.0,0.001,spanje,almeria
3,2,18.0,0.0,spanje,almeria
3,2,23.0,0.0,spanje,almeria
3,2,25.0,0.0,spanje,almeria
3,2,26.0,0.0,spanje,almeria
3,2,27.0,0.0,spanje,almeria
3,3,1.0,0.231,spanje,almeria
3,3,2.0,0.484,spanje,almeria
3,3,3.0,0.137,spanje,almeria
3,3,4.0,0.022,spanje,almeria
3,3,5.0,0.018,spanje,almeria
3,3,7.0,0.082,spanje,almeria
3,3,8.0,0.022,spanje,almeria
3,3,9.0,0.001,spanje,almeria
3,3,17.0,0.004,spanje,almeria
3,3,18.0,0.001,spanje,almeria
3,3,23.0,0.0,spanje,almeria
3,3,25.0,0.0,spanje,almeria
3,3,26.0,0.0,spanje,almeria
3,3,27.0,0.0,spanje,almeria
4,1,1.0,0.239,spanje,almeria
4,1,2.0,0.594,spanje,almeria
4,1,3.0,0.079,spanje,almeria
4,1,4.0,0.019,spanje,almeria
4,1,5.0,0.018,spanje,almeria
4,1,7.0,0.038,spanje,almeria
4,1,8.0,0.01,spanje,almeria
4,1,9.0,0.005,spanje,almeria
4,1,17.0,0.0,spanje,almeria
4,1,18.0,0.0,spanje,almeria
4,1,23.0,0.0,spanje,almeria
4,1,25.0,0.0,spanje,almeria
4,1,26.0,0.0,spanje,almeria
4,1,27.0,0.0,spanje,almeria
4,2,1.0,0.326,spanje,almeria
4,2,2.0,0.468,spanje,almeria
4,2,3.0,0.105,spanje,almeria
4,2,4.0,0.026,spanje,almeria
4,2,5.0,0.005,spanje,almeria
4,2,7.0,0.062,spanje,almeria
4,2,8.0,0.006,spanje,almeria
4,2,9.0,0.001,spanje,almeria
4,2,17.0,0.001,spanje,almeria
4,2,18.0,0.001,spanje,almeria
4,2,23.0,0.0,spanje,almeria
4,2,25.0,0.0,spanje,almeria
4,2,26.0,0.0,spanje,almeria
4,2,27.0,0.0,spanje,almeria
4,3,1.0,0.194,spanje,almeria
4,3,2.0,0.616,spanje,almeria
4,3,3.0,0.117,spanje,almeria
4,3,4.0,0.018,spanje,almeria
4,3,5.0,0.01,spanje,almeria
4,3,7.0,0.037,spanje,almeria
4,3,8.0,0.007,spanje,almeria
4,3,9.0,0.0,spanje,almeria
4,3,17.0,0.0,spanje,almeria
4,3,18.0,0.001,spanje,almeria
4,3,23.0,0.0,spanje,almeria
4,3,25.0,0.0,spanje,almeria
4,3,26.0,0.0,spanje,almeria
4,3,27.0,0.001,spanje,almeria
5,1,1.0,0.271,spanje,almeria
5,1,2.0,0.631,spanje,almeria
5,1,3.0,0.054,spanje,almeria
5,1,4.0,0.015,spanje,almeria
5,1,5.0,0.008,spanje,almeria
5,1,7.0,0.012,spanje,almeria
5,1,8.0,0.005,spanje,almeria
5,1,9.0,0.0,spanje,almeria
5,1,17.0,0.001,spanje,almeria
5,1,18.0,0.0,spanje,almeria
5,1,23.0,0.001,spanje,almeria
5,1,25.0,0.001,spanje,almeria
5,1,26.0,0.0,spanje,almeria
5,1,27.0,0.0,spanje,almeria
5,2,1.0,0.407,spanje,almeria
5,2,2.0,0.516,spanje,almeria
5,2,3.0,0.045,spanje,almeria
5,2,4.0,0.008,spanje,almeria
5,2,5.0,0.007,spanje,almeria
5,2,7.0,0.017,spanje,almeria
5,2,8.0,0.0,spanje,almeria
5,2,9.0,0.0,spanje,almeria
5,2,17.0,0.0,spanje,almeria
5,2,18.0,0.0,spanje,almeria
5,2,23.0,0.0,spanje,almeria
