m,coco,coco_pct,country,place
5,2.0,0.377,spanje,alicante
5,3.0,0.186,spanje,alicante
5,4.0,0.01,spanje,alicante
5,5.0,0.006,spanje,alicante
5,7.0,0.026,spanje,alicante
5,8.0,0.012,spanje,alicante
5,9.0,0.01,spanje,alicante
5,17.0,0.007,spanje,alicante
5,18.0,0.002,spanje,alicante
5,23.0,0.0,spanje,alicante
5,25.0,0.001,spanje,alicante
5,26.0,0.0,spanje,alicante
5,27.0,0.0,spanje,alicante
6,1.0,0.504,spanje,alicante
6,2.0,0.276,spanje,alicante
6,3.0,0.176,spanje,alicante
6,4.0,0.01,spanje,alicante
6,5.0,0.003,spanje,alicante
6,7.0,0.014,spanje,alicante
6,8.0,0.004,spanje,alicante
6,9.0,0.001,spanje,alicante
6,17.0,0.009,spanje,alicante
6,18.0,0.001,spanje,alicante
6,23.0,0.0,spanje,alicante
6,25.0,0.002,spanje,alicante
6,26.0,0.0,spanje,alicante
6,27.0,0.0,spanje,alicante
7,1.0,0.68,spanje,alicante
7,2.0,0.218,spanje,alicante
7,3.0,0.085,spanje,alicante
7,4.0,0.006,spanje,alicante
7,5.0,0.003,spanje,alicante
7,7.0,0.001,spanje,alicante
7,8.0,0.001,spanje,alicante
7,9.0,0.0,spanje,alicante
7,17.0,0.003,spanje,alicante
7,18.0,0.001,spanje,alicante
7,23.0,0.0,spanje,alicante
7,25.0,0.002,spanje,alicante
7,26.0,0.0,spanje,alicante
7,27.0,0.0,spanje,alicante
8,1.0,0.579,spanje,alicante
8,2.0,0.303,spanje,alicante
8,3.0,0.094,spanje,alicante
8,4.0,0.007,spanje,alicante
8,5.0,0.002,spanje,alicante
8,7.0,0.007,spanje,alicante
8,8.0,0.002,spanje,alicante
8,9.0,0.0,spanje,alicante
8,17.0,0.003,spanje,alicante
8,18.0,0.002,spanje,alicante
8,23.0,0.0,spanje,alicante
8,25.0,0.002,spanje,alicante
8,26.0,0.0,spanje,alicante
8,27.0,0.0,spanje,alicante
9,1.0,0.292,spanje,alicante
9,2.0,0.406,spanje,alicante
9,3.0,0.23,spanje,alicante
9,4.0,0.013,spanje,alicante
9,5.0,0.003,spanje,alicante
9,7.0,0.021,spanje,alicante
9,8.0,0.014,spanje,alicante
9,9.0,0.005,spanje,alicante
9,17.0,0.008,spanje,alicante
9,18.0,0.003,spanje,alicante
9,23.0,0.0,spanje,alicante
9,25.0,0.003,spanje,alicante
9,26.0,0.0,spanje,alicante
9,27.0,0.0,spanje,alicante
10,1.0,0.341,spanje,alicante
10,2.0,0.333,spanje,alicante
10,3.0,0.256,spanje,alicante
10,4.0,0.014,spanje,alicante
10,5.0,0.006,spanje,alicante
10,7.0,0.028,spanje,alicante
10,8.0,0.008,spanje,alicante
10,9.0,0.006,spanje,alicante
10,17.0,0.007,spanje,alicante
10,18.0,0.001,spanje,alicante
10,23.0,0.0,spanje,alicante
10,25.0,0.002,spanje,alicante
10,26.0,0.0,spanje,alicante
10,27.0,0.0,spanje,alicante
11,1.0,0.319,spanje,alicante
11,2.0,0.335,spanje,alicante
11,3.0,0.258,spanje,alicante
11,4.0,0.024,spanje,alicante
11,5.0,0.015,spanje,alicante
