m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
10,25.0,27.8,31.2,9.5,25.0,0.8,31.0,indonesië,sanur
11,25.7,28.4,31.6,8.4,27.0,0.9,57.0,indonesië,sanur
12,25.5,28.3,31.1,11.5,27.0,0.88,148.0,indonesië,sanur
1,25.2,28.0,30.8,14.2,30.0,0.96,190.0,indonesië,ubud
2,25.2,28.3,31.1,11.7,28.0,0.97,171.0,indonesië,ubud
3,25.3,28.3,31.3,9.0,28.0,0.91,92.0,indonesië,ubud
4,25.4,28.5,31.1,8.9,28.0,0.93,138.0,indonesië,ubud
5,25.7,28.0,30.4,11.1,24.0,0.78,51.0,indonesië,ubud
6,24.9,27.4,29.8,12.5,25.0,0.85,63.0,indonesië,ubud
7,24.7,26.7,29.1,14.0,26.0,0.85,45.0,indonesië,ubud
8,24.4,26.6,29.2,13.3,24.0,0.79,29.0,indonesië,ubud
9,24.6,27.0,30.0,11.6,24.0,0.78,35.0,indonesië,ubud
10,25.0,27.8,31.2,9.5,25.0,0.8,31.0,indonesië,ubud
11,25.7,28.4,31.6,8.4,27.0,0.9,57.0,indonesië,ubud
12,25.5,28.3,31.1,11.5,27.0,0.88,148.0,indonesië,ubud
1,25.0,27.4,30.5,8.0,0.0,,0.0,indonesië,yogyakarta
2,25.0,27.2,30.4,6.4,0.0,,0.0,indonesië,yogyakarta
3,24.9,27.6,31.4,6.3,0.0,,0.0,indonesië,yogyakarta
4,25.0,27.8,31.9,5.7,0.0,,0.0,indonesië,yogyakarta
5,25.2,28.3,32.1,5.7,0.0,,0.0,indonesië,yogyakarta
6,24.9,27.7,31.3,6.2,0.0,,0.0,indonesië,yogyakarta
7,24.2,27.3,31.2,7.2,0.0,,0.0,indonesië,yogyakarta
8,23.2,26.9,32.0,8.4,0.0,,0.0,indonesië,yogyakarta
9,23.8,27.7,33.0,8.9,0.0,,0.0,indonesië,yogyakarta
10,25.0,28.6,33.0,7.9,0.0,,0.0,indonesië,yogyakarta
11,25.5,28.2,32.2,6.9,0.0,,0.0,indonesië,yogyakarta
12,25.3,27.6,31.0,7.9,0.0,,0.0,indonesië,yogyakarta
