m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
5,8.5,13.8,18.6,12.8,14.0,0.47,64.0,nederland,drenthe
6,12.0,17.2,22.1,12.9,13.0,0.44,52.0,nederland,drenthe
7,12.7,17.8,22.8,11.8,17.0,0.56,64.0,nederland,drenthe
8,12.9,18.0,23.5,11.4,17.0,0.54,59.0,nederland,drenthe
9,10.4,14.6,19.8,10.4,14.0,0.48,68.0,nederland,drenthe
10,8.4,11.4,15.1,14.1,19.0,0.63,74.0,nederland,drenthe
11,4.5,6.9,9.6,14.0,19.0,0.63,57.0,nederland,drenthe
12,2.8,5.1,7.0,15.8,21.0,0.69,85.0,nederland,drenthe
1,1.8,4.1,6.0,15.6,18.0,0.58,61.0,nederland,ede
2,2.4,4.9,8.3,16.3,18.0,0.61,46.0,nederland,ede
3,2.4,6.9,11.0,13.9,20.0,0.66,55.0,nederland,ede
4,4.1,9.6,14.5,14.3,22.0,0.73,99.0,nederland,ede
5,8.1,13.4,18.9,11.9,21.0,0.67,97.0,nederland,ede
6,12.0,17.7,22.6,12.0,13.0,0.42,15.0,nederland,ede
7,13.1,18.3,23.4,11.0,20.0,0.66,51.0,nederland,ede
8,13.8,18.9,24.4,10.9,16.0,0.51,29.0,nederland,ede
9,10.9,15.3,20.8,10.8,15.0,0.49,29.0,nederland,ede
10,8.1,11.9,15.5,12.9,20.0,0.64,44.0,nederland,ede
11,4.6,7.2,10.0,13.3,20.0,0.67,56.0,nederland,ede
12,3.0,5.1,7.0,14.6,19.0,0.62,69.0,nederland,ede
1,1.8,3.9,6.0,17.0,21.0,0.68,64.0,nederland,groningen
2,1.6,4.7,7.9,17.6,16.0,0.56,59.0,nederland,groningen
3,2.1,6.3,10.1,15.1,15.0,0.47,55.0,nederland,groningen
4,3.5,8.7,13.5,15.7,12.0,0.4,37.0,nederland,groningen
5,7.7,13.7,18.2,13.1,12.0,0.4,42.0,nederland,groningen
6,11.4,17.0,21.9,12.6,12.0,0.39,49.0,nederland,groningen
7,12.6,17.5,22.3,12.4,14.0,0.46,66.0,nederland,groningen
8,12.6,18.2,23.9,11.8,13.0,0.43,55.0,nederland,groningen
9,9.6,14.6,20.0,11.6,14.0,0.46,68.0,nederland,groningen
10,7.9,11.5,15.0,13.7,19.0,0.62,69.0,nederland,groningen
11,4.1,7.0,9.6,14.3,18.0,0.61,63.0,nederland,groningen
12,2.5,5.1,7.0,15.9,21.0,0.69,78.0,nederland,groningen
1,1.7,4.0,5.8,16.1,19.0,0.6,70.0,nederland,maastricht
2,2.4,5.5,9.2,17.0,16.0,0.56,59.0,nederland,maastricht
3,3.5,7.8,12.0,14.2,15.0,0.49,66.0,nederland,maastricht
4,5.0,10.8,15.7,14.3,12.0,0.41,33.0,nederland,maastricht
5,8.5,14.2,19.9,12.4,13.0,0.42,54.0,nederland,maastricht
6,13.1,18.5,24.0,11.8,11.0,0.36,59.0,nederland,maastricht
7,13.4,18.8,24.0,11.2,11.0,0.36,49.0,nederland,maastricht
8,14.4,19.6,25.3,11.4,15.0,0.48,66.0,nederland,maastricht
9,11.3,16.3,21.7,11.1,13.0,0.42,49.0,nederland,maastricht
10,8.8,12.7,16.6,13.9,17.0,0.54,50.0,nederland,maastricht
11,4.6,7.7,10.6,13.9,17.0,0.56,47.0,nederland,maastricht
12,2.7,5.4,7.8,16.0,21.0,0.67,76.0,nederland,maastricht
1,2.7,4.9,7.3,18.4,20.0,0.65,65.0,nederland,rotterdam
2,3.6,5.9,8.8,19.5,17.0,0.57,61.0,nederland,rotterdam
3,3.9,7.7,11.0,15.8,17.0,0.56,53.0,nederland,rotterdam
4,5.8,9.9,13.8,15.1,14.0,0.48,52.0,nederland,rotterdam
5,9.2,13.5,18.0,13.5,14.0,0.44,64.0,nederland,rotterdam
6,13.0,17.2,21.8,12.9,11.0,0.36,32.0,nederland,rotterdam
7,14.3,18.3,22.3,13.1,14.0,0.45,63.0,nederland,rotterdam
8,15.4,19.1,23.2,12.8,15.0,0.48,49.0,nederland,rotterdam
9,11.9,15.9,20.2,12.1,14.0,0.47,95.0,nederland,rotterdam
10,9.5,12.7,15.9,15.1,19.0,0.62,95.0,nederland,rotterdam
11,5.5,8.1,10.8,15.8,20.0,0.65,78.0,nederland,rotterdam
12,3.5,6.1,7.9,17.4,22.0,0.69,82.0,nederland,rotterdam
1,2.8,4.5,6.0,24.3,17.0,0.55,35.0,nederland,schiermonnikoog
2,3.4,5.2,7.3,26.6,12.0,0.41,33.0,nederland,schiermonnikoog
3,4.6,6.8,9.1,22.5,12.0,0.38,17.0,nederland,schiermonnikoog
4,6.6,9.3,11.8,24.5,11.0,0.37,11.0,nederland,schiermonnikoog
5,11.0,13.6,16.4,21.9,11.0,0.35,22.0,nederland,schiermonnikoog
6,14.1,16.8,19.6,21.5,7.0,0.22,6.0,nederland,schiermonnikoog
7,15.6,17.7,20.8,21.4,12.0,0.39,21.0,nederland,schiermonnikoog
8,15.9,18.9,22.0,19.8,7.0,0.23,6.0,nederland,schiermonnikoog
9,13.4,16.0,18.6,18.5,9.0,0.28,18.0,nederland,schiermonnikoog
10,10.0,12.2,14.4,21.7,13.0,0.42,27.0,nederland,schiermonnikoog
11,6.1,7.8,9.6,21.3,17.0,0.57,46.0,nederland,schiermonnikoog
12,4.3,5.9,7.0,22.7,18.0,0.59,45.0,nederland,schiermonnikoog
1,3.1,5.2,6.6,25.9,24.0,0.79,61.0,nederland,terschelling
2,3.6,5.2,7.0,27.9,15.0,0.51,57.0,nederland,terschelling
3,3.9,6.5,8.8,22.3,16.0,0.51,41.0,nederland,terschelling
4,5.6,8.5,11.4,23.8,13.0,0.43,37.0,nederland,terschelling
5,9.1,12.7,15.5,19.3,12.0,0.38,42.0,nederland,terschelling
6,12.1,15.7,18.8,18.3,11.0,0.37,46.0,nederland,terschelling
7,14.3,17.0,20.0,19.7,13.0,0.43,55.0,nederland,terschelling
8,14.7,18.3,21.4,20.5,14.0,0.45,62.0,nederland,terschelling
9,13.1,15.8,18.5,19.8,13.0,0.45,54.0,nederland,terschelling
10,9.8,12.1,14.1,23.9,20.0,0.65,78.0,nederland,terschelling
11,6.3,8.3,10.0,22.9,20.0,0.65,84.0,nederland,terschelling
12,3.7,6.0,7.6,25.4,24.0,0.76,89.0,nederland,terschelling
1,3.8,5.5,7.0,31.6,18.0,0.59,51.0,nederland,texel
2,4.0,5.6,7.5,30.7,14.0,0.49,59.0,nederland,texel
3,4.6,6.7,8.7,27.2,14.0,0.44,37.0,nederland,texel
4,6.2,8.6,11.5,25.9,11.0,0.37,32.0,nederland,texel
5,10.1,12.6,15.7,22.8,9.0,0.3,28.0,nederland,texel
6,13.3,15.7,18.9,21.8,10.0,0.33,51.0,nederland,texel
7,15.3,17.4,19.9,23.3,9.0,0.29,25.0,nederland,texel
8,16.2,18.5,20.8,23.6,10.0,0.33,47.0,nederland,texel
9,14.2,16.0,18.9,23.2,12.0,0.39,65.0,nederland,texel
10,11.1,12.9,14.7,28.3,17.0,0.55,80.0,nederland,texel
11,7.5,9.3,10.5,27.8,17.0,0.57,62.0,nederland,texel
12,5.1,6.6,8.1,30.4,20.0,0.63,68.0,nederland,texel
1,1.9,3.9,5.7,15.2,21.0,0.67,65.0,nederland,twente
2,2.3,4.9,8.1,16.4,18.0,0.62,73.0,nederland,twente
3,2.1,7.0,11.1,13.2,16.0,0.51,59.0,nederland,twente
4,4.2,9.4,15.2,13.7,13.0,0.43,45.0,nederland,twente
5,8.0,13.6,19.2,11.4,12.0,0.4,52.0,nederland,twente
6,11.8,17.9,22.8,11.1,11.0,0.38,40.0,nederland,twente
7,13.4,18.3,23.3,10.9,13.0,0.43,57.0,nederland,twente
8,13.1,18.7,24.6,10.8,14.0,0.45,49.0,nederland,twente
9,10.4,15.2,20.8,10.8,13.0,0.43,53.0,nederland,twente
10,8.0,11.8,15.5,13.3,18.0,0.57,76.0,nederland,twente
11,4.3,7.1,10.1,13.2,17.0,0.58,54.0,nederland,twente
12,2.9,5.1,6.9,15.2,21.0,0.67,87.0,nederland,twente
1,2.3,4.6,7.1,13.9,20.0,0.64,79.0,nederland,utrecht
2,3.0,5.5,8.9,15.4,17.0,0.6,70.0,nederland,utrecht
3,2.6,7.4,10.9,14.0,15.0,0.47,54.0,nederland,utrecht
4,4.8,9.8,15.0,13.2,12.0,0.41,49.0,nederland,utrecht
5,7.9,13.7,19.0,11.1,14.0,0.45,58.0,nederland,utrecht
6,11.8,17.4,22.5,11.1,11.0,0.36,50.0,nederland,utrecht
7,12.6,18.1,22.9,10.9,13.0,0.42,61.0,nederland,utrecht
8,13.1,18.7,24.3,10.1,14.0,0.44,60.0,nederland,utrecht
9,10.5,15.3,20.8,9.4,12.0,0.42,69.0,nederland,utrecht
10,8.0,12.2,16.2,11.9,19.0,0.6,86.0,nederland,utrecht
11,4.5,7.6,10.9,11.9,19.0,0.62,80.0,nederland,utrecht
12,2.8,5.7,7.7,13.5,21.0,0.68,85.0,nederland,utrecht
1,1.7,4.0,5.8,16.1,19.0,0.6,70.0,nederland,valkenburg
2,2.4,5.5,9.2,17.0,16.0,0.56,59.0,nederland,valkenburg
3,3.5,7.8,12.0,14.2,15.0,0.5,66.0,nederland,valkenburg
4,5.0,10.8,15.7,14.3,12.0,0.41,33.0,nederland,valkenburg
5,8.5,14.2,19.9,12.4,13.0,0.42,54.0,nederland,valkenburg
6,13.1,18.5,24.0,11.8,11.0,0.36,59.0,nederland,valkenburg
7,13.4,18.8,24.0,11.2,11.0,0.36,49.0,nederland,valkenburg
8,14.4,19.6,25.3,11.4,15.0,0.48,66.0,nederland,valkenburg
9,11.3,16.3,21.7,11.1,13.0,0.42,49.0,nederland,valkenburg
10,8.8,12.7,16.6,13.9,17.0,0.54,50.0,nederland,valkenburg
11,4.6,7.7,10.6,13.9,17.0,0.56,47.0,nederland,valkenburg
12,2.7,5.4,7.8,16.0,21.0,0.67,76.0,nederland,valkenburg
1,3.8,5.6,7.3,32.5,18.0,0.57,44.0,nederland,vlieland
2,4.2,6.0,7.6,32.7,13.0,0.44,26.0,nederland,vlieland
3,4.7,6.9,9.0,27.4,12.0,0.4,21.0,nederland,vlieland
4,6.2,8.9,11.4,27.1,11.0,0.37,11.0,nederland,vlieland
5,9.7,12.9,15.8,23.5,9.0,0.31,12.0,nederland,vlieland
6,12.9,15.7,18.7,23.0,7.0,0.24,11.0,nederland,vlieland
7,14.9,17.3,20.1,23.9,9.0,0.3,8.0,nederland,vlieland
8,15.7,18.5,21.2,24.2,8.0,0.26,9.0,nederland,vlieland
9,13.8,16.0,18.9,23.6,9.0,0.29,26.0,nederland,vlieland
10,10.9,12.8,14.8,28.7,15.0,0.48,33.0,nederland,vlieland
11,7.3,9.0,10.3,28.2,17.0,0.58,48.0,nederland,vlieland
12,5.2,6.8,8.1,31.2,20.0,0.65,44.0,nederland,vlieland
1,4.2,5.7,7.0,26.5,21.0,0.69,63.0,nederland,zandvoort
2,4.6,6.3,8.0,26.7,18.0,0.61,64.0,nederland,zandvoort
3,4.4,7.0,9.4,23.3,18.0,0.59,47.0,nederland,zandvoort
4,6.4,9.1,12.4,22.1,13.0,0.45,40.0,nederland,zandvoort
5,10.0,12.8,15.8,18.9,14.0,0.46,48.0,nederland,zandvoort
6,13.3,15.8,18.7,19.7,13.0,0.42,46.0,nederland,zandvoort
7,15.0,17.5,20.0,19.2,16.0,0.52,45.0,nederland,zandvoort
8,16.3,18.6,21.1,19.1,16.0,0.51,53.0,nederland,zandvoort
9,13.4,16.2,19.2,18.7,17.0,0.55,89.0,nederland,zandvoort
10,10.9,13.0,15.4,23.7,21.0,0.68,83.0,nederland,zandvoort
11,7.4,9.2,10.9,25.0,20.0,0.66,108.0,nederland,zandvoort
12,4.9,6.6,8.2,27.1,23.0,0.73,86.0,nederland,zandvoort
1,3.5,5.6,7.3,26.0,19.0,0.62,67.0,nederland,zeeland
2,4.5,6.3,8.5,26.5,15.0,0.53,46.0,nederland,zeeland
3,5.4,7.8,10.4,22.7,16.0,0.5,46.0,nederland,zeeland
4,7.0,10.3,13.7,20.8,11.0,0.37,37.0,nederland,zeeland
5,10.3,13.5,17.4,18.7,12.0,0.39,43.0,nederland,zeeland
6,14.0,17.0,21.2,18.6,10.0,0.35,44.0,nederland,zeeland
7,15.6,18.5,22.0,18.8,12.0,0.37,42.0,nederland,zeeland
8,16.6,19.4,23.1,19.2,13.0,0.42,49.0,nederland,zeeland
9,14.2,17.1,20.5,18.8,13.0,0.44,70.0,nederland,zeeland
10,11.4,13.7,16.4,23.0,17.0,0.54,67.0,nederland,zeeland
11,7.3,9.0,11.0,23.3,18.0,0.6,78.0,nederland,zeeland
12,4.8,6.5,8.2,24.6,20.0,0.65,74.0,nederland,zeeland
